user_id,user_registered,user_status,billing_city,billing_country,billing_state
3,2020-07-13 16:41:24,0,Peru,PE,LMA
9,2020-12-07 20:13:39,0,,,
12,2020-12-11 19:50:37,0,,,
13,2020-12-12 00:45:30,0,,,
18,2020-12-13 03:22:43,0,,,
22,2020-12-14 19:54:59,0,,,
23,2020-12-14 21:33:27,0,ORURO,BO,O
24,2020-12-14 21:55:12,0,DORAL,US,FL
25,2020-12-14 21:59:24,0,,,
26,2020-12-14 22:58:40,0,,,
27,2020-12-17 14:38:40,0,,,
28,2020-12-17 19:48:34,0,,,
29,2020-12-17 19:50:31,0,,,
30,2020-12-18 17:02:18,0,,,
32,2020-12-18 19:17:47,0,,,
33,2020-12-18 19:19:08,0,,,
34,2020-12-19 20:59:00,0,,,
36,2020-12-21 22:28:37,0,,,
37,2020-12-22 21:14:56,0,,,
38,2020-12-23 21:29:27,0,,,
39,2020-12-28 20:51:35,0,Montevideo,UY,Montevideo
40,2020-12-28 20:52:44,0,,,
41,2020-12-29 18:00:17,0,HIALEAH GARDENS,US,FL
42,2020-12-29 18:00:59,0,,,
43,2020-12-29 18:02:58,0,,,
44,2020-12-30 15:10:53,0,,,
45,2021-01-04 16:19:16,0,Miami,US,FL
46,2021-01-04 17:38:22,0,MIAMI,US,FL
47,2021-01-04 18:04:11,0,,,
49,2021-01-06 20:35:05,0,Miami,US,FL
50,2021-01-07 18:23:49,0,la paz,BO,BO-L
51,2021-01-11 13:41:52,0,,,
52,2021-01-11 14:50:49,0,,,
53,2021-01-11 14:51:31,0,,,
54,2021-01-11 15:15:57,0,DORAL,US,FL
55,2021-01-11 15:31:10,0,,,
57,2021-01-12 22:50:33,0,,,
58,2021-01-13 14:37:55,0,,,
59,2021-01-14 18:35:12,0,,,
60,2021-01-14 18:48:37,0,,,
61,2021-01-14 18:56:36,0,,,
63,2021-01-14 19:34:58,0,,CO,
64,2021-01-14 19:37:03,0,,,
65,2021-01-14 19:44:02,0,,,
66,2021-01-14 21:23:54,0,,,
71,2021-01-18 19:32:27,0,Managua,NI,NI-MN
73,2021-01-19 16:18:53,0,,,
78,2021-02-22 00:38:04,0,,,
79,2021-02-25 23:09:27,0,,,
91,2021-03-02 18:12:07,0,lima,PE,LIM
92,2021-03-02 20:42:46,0,San Salvador,SV,SV-SS
95,2021-03-03 16:30:09,0,,,
101,2021-03-03 20:05:32,0,Hollywood,US,FL
102,2021-03-03 20:06:13,0,,,
103,2021-03-03 20:07:10,0,DORAL,US,FL
104,2021-03-03 20:09:07,0,DUBAI,AE,
106,2021-03-03 20:11:04,0,Warsaw,PL,
108,2021-03-03 20:34:43,0,miami,US,FL
109,2021-03-03 20:36:09,0,DORAL,US,
110,2021-03-03 20:37:57,0,DUBAI,AE,
111,2021-03-03 20:39:04,0,Santiago,CL,
112,2021-03-03 20:40:12,0,DORAL,US,FL
113,2021-03-03 20:40:51,0,,NG,
114,2021-03-03 20:43:18,0,,,
